rank,name,pagerank,in_degree,out_degree
1,proc-macro2,0.044337,10636,1
2,unicode-ident,0.033619,78,0
3,quote,0.023904,12148,1
4,syn,0.023730,12308,2
5,serde,0.021071,55847,1
6,serde_derive,0.020903,3241,3
7,serde_core,0.018027,56,1
8,thiserror,0.013617,36201,1
9,serde_json,0.011675,42453,5
10,thiserror-impl,0.009928,5,3
11,num-traits,0.008932,4374,0
12,libc,0.008740,7103,0
13,pin-project-lite,0.008056,922,0
14,log,0.006832,17435,0
15,tokio,0.006530,27391,1
16,clap,0.006039,19376,1
17,anyhow,0.005963,22517,0
18,bytes,0.005019,8318,0
19,rand,0.004990,12816,1
20,tracing,0.004866,20977,2
21,chrono,0.004480,18004,1
22,rand_core,0.004276,1060,0
23,cfg-if,0.004256,1863,0
24,clap_builder,0.004223,7,2
25,windows-link,0.003956,24,0
26,memchr,0.003917,1003,0
27,regex,0.003616,11589,2
28,windows-sys,0.003292,781,1
29,itoa,0.002973,383,0
30,bitflags,0.002886,3003,0
31,once_cell,0.002824,5026,0
32,futures,0.002723,12336,6
33,reqwest,0.002699,12544,21
34,tracing-core,0.002582,149,0
35,async-trait,0.002542,11844,3
36,lazy_static,0.002313,6289,0
37,uuid,0.002188,9996,0
38,anstyle,0.001976,194,0
39,futures-core,0.001920,960,0
40,either,0.001896,877,0
41,clap_lex,0.001875,9,0
42,base64,0.001857,7556,0
43,url,0.001761,7939,3
44,wasm-bindgen,0.001735,1978,4
45,zmij,0.001706,19,0
46,toml,0.001666,7827,2
47,byteorder,0.001586,2883,0
48,hashbrown,0.001556,1139,0
49,http,0.001545,3728,2
50,itertools,0.001518,5044,1
51,sha2,0.001517,7044,3
52,smallvec,0.001493,2201,0
53,indexmap,0.001467,3174,2
54,regex-syntax,0.001461,137,0
55,percent-encoding,0.001445,1040,0
56,parking_lot,0.001435,4308,2
57,hex,0.001417,6141,0
58,regex-automata,0.001397,75,0
59,common,0.001355,79,5
60,prost,0.001308,2563,1
