rank,name,pagerank,in_degree,out_degree
1,unicode-ident,0.028065,6,0
2,proc-macro2,0.027275,3407,1
3,serde,0.018346,16106,0
4,libc,0.017189,4346,0
5,cfg-if,0.014706,839,0
6,quote,0.012420,4153,1
7,syn,0.011948,4219,2
8,num-traits,0.010703,2049,0
9,log,0.010016,9383,1
10,serde_json,0.008061,10653,3
11,winapi,0.007173,1406,2
12,rand,0.007095,5271,1
13,clap,0.006930,6707,4
14,thiserror,0.006698,6006,1
15,lazy_static,0.006412,5062,0
16,rand_core,0.006048,377,0
17,bitflags,0.005227,1629,0
18,thiserror-impl,0.005093,2,3
19,regex,0.004926,4432,1
20,pin-project-lite,0.004540,237,0
21,byteorder,0.004087,2353,0
22,futures,0.004082,5227,6
23,tokio,0.003937,5155,1
24,chrono,0.003934,4780,2
25,regex-syntax,0.003769,64,0
26,anyhow,0.003650,4728,0
27,bytes,0.003619,3131,0
28,winapi-i686-pc-windows-gnu,0.003220,3,0
29,winapi-x86_64-pc-windows-gnu,0.003220,3,0
30,serde_derive,0.003013,4422,3
31,itoa,0.002825,122,0
32,hashbrown,0.002752,326,0
33,num-integer,0.002665,171,1
34,reqwest,0.002549,3357,26
35,futures-core,0.002478,354,0
36,ryu,0.002341,58,0
37,memchr,0.002305,307,0
38,indexmap,0.002298,693,1
39,once_cell,0.002289,1637,0
40,either,0.002278,393,0
41,url,0.002274,3058,4
42,structopt,0.002221,2535,3
43,itertools,0.002160,2708,1
44,nom,0.002121,1105,2
45,wasm-bindgen,0.002111,724,2
46,typenum,0.001904,183,0
47,embedded-hal,0.001895,697,1
48,async-trait,0.001830,2413,3
49,nb,0.001808,273,0
50,failure,0.001792,1806,0
51,num,0.001698,949,5
52,base64,0.001698,2011,0
53,vcell,0.001638,607,0
54,hyper,0.001522,2049,14
55,time,0.001420,1117,2
56,http,0.001419,1563,3
57,toml,0.001413,2039,1
58,textwrap,0.001404,139,0
59,parking_lot,0.001389,1132,2
60,futures-util,0.001378,814,4
