rank,name,pagerank,in_degree,out_degree
1,libc,0.035969,1927,0
2,winapi,0.018851,730,2
3,cfg-if,0.016365,78,0
4,serde,0.015211,2451,0
5,unicode-xid,0.014244,22,0
6,num-traits,0.013155,340,0
7,proc-macro2,0.013093,176,1
8,log,0.011389,1771,1
9,byteorder,0.011313,914,0
10,rand,0.010356,1149,1
11,lazy_static,0.009338,1121,0
12,rand_core,0.009092,13,0
13,winapi-i686-pc-windows-gnu,0.008089,1,0
14,winapi-x86_64-pc-windows-gnu,0.008089,1,0
15,serde_derive,0.007270,1956,3
16,serde_json,0.007218,1834,3
17,syn,0.007105,422,2
18,quote,0.006990,413,1
19,bitflags,0.006950,450,0
20,clap,0.006666,1298,3
21,futures,0.006333,883,0
22,regex,0.005766,952,5
23,memchr,0.005602,61,1
24,unicode-width,0.005178,46,0
25,failure,0.004404,741,0
26,hyper,0.004173,978,11
27,time,0.004153,561,3
28,rustc-serialize,0.003880,550,0
29,chrono,0.003798,736,2
30,num,0.003710,361,5
31,error-chain,0.003597,653,0
32,num-integer,0.003469,33,1
33,url,0.003337,699,3
34,nom,0.003103,301,1
35,itoa,0.002765,20,0
36,void,0.002552,65,0
37,bytes,0.002408,270,2
38,either,0.002252,55,0
39,ryu,0.002111,3,0
40,textwrap,0.001952,7,1
41,typenum,0.001913,50,0
42,itertools,0.001866,330,1
43,matches,0.001803,48,0
44,redox_syscall,0.001786,14,0
45,nix,0.001709,204,4
46,toml,0.001674,432,1
47,iovec,0.001569,8,2
48,generic-array,0.001543,66,1
49,quick-error,0.001527,194,0
50,reqwest,0.001513,367,19
51,tokio-io,0.001500,207,3
52,unreachable,0.001433,22,1
53,unicase,0.001381,31,0
54,env_logger,0.001380,441,4
55,num_cpus,0.001359,177,1
56,mime,0.001354,415,1
57,base64,0.001354,287,2
58,num-complex,0.001339,42,1
59,uuid,0.001321,275,0
60,getopts,0.001284,179,1
